2025-03-17 13:14:33,273 - SOS Triggered - Time: 13:14:33, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.41 m/s², Fear: 99.8%
2025-03-17 13:14:58,268 - SOS Triggered - Time: 13:14:58, PPG: 70.9 bpm, GSR: 0.66 µS, Accel: 0.75 m/s², Fear: 95.9%
2025-03-17 13:15:08,273 - SOS Triggered - Time: 13:15:08, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.34 m/s², Fear: 100.0%
2025-03-17 13:16:33,405 - SOS Triggered - Time: 13:16:33, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.47 m/s², Fear: 99.8%
2025-03-17 13:16:43,426 - SOS Triggered - Time: 13:16:43, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.36 m/s², Fear: 100.0%
2025-03-17 13:16:53,448 - SOS Triggered - Time: 13:16:53, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.45 m/s², Fear: 99.8%
2025-03-17 13:17:23,480 - SOS Triggered - Time: 13:17:23, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.46 m/s², Fear: 99.8%
2025-03-17 13:17:38,526 - SOS Triggered - Time: 13:17:38, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.34 m/s², Fear: 100.0%
2025-03-17 13:17:48,527 - SOS Triggered - Time: 13:17:48, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.35 m/s², Fear: 100.0%
2025-03-17 13:18:03,569 - SOS Triggered - Time: 13:18:03, PPG: 123.1 bpm, GSR: 7.84 µS, Accel: 3.04 m/s², Fear: 100.0%
2025-03-17 13:18:23,594 - SOS Triggered - Time: 13:18:23, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.48 m/s², Fear: 99.8%
2025-03-17 13:18:59,382 - SOS Triggered - Time: 13:18:59, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.35 m/s², Fear: 100.0%
2025-03-17 13:19:14,396 - SOS Triggered - Time: 13:19:14, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.32 m/s², Fear: 100.0%
2025-03-17 13:19:29,374 - SOS Triggered - Time: 13:19:29, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.31 m/s², Fear: 100.0%
2025-03-17 13:19:49,372 - SOS Triggered - Time: 13:19:49, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.45 m/s², Fear: 99.8%
2025-03-17 13:20:24,401 - SOS Triggered - Time: 13:20:24, PPG: 70.8 bpm, GSR: 0.62 µS, Accel: 0.77 m/s², Fear: 98.0%
2025-03-17 13:20:44,399 - SOS Triggered - Time: 13:20:44, PPG: 113.4 bpm, GSR: 7.07 µS, Accel: 2.85 m/s², Fear: 99.4%
2025-03-17 13:21:34,453 - SOS Triggered - Time: 13:21:34, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.39 m/s², Fear: 100.0%
2025-03-17 13:21:59,465 - SOS Triggered - Time: 13:21:59, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.35 m/s², Fear: 100.0%
2025-03-17 13:22:44,490 - SOS Triggered - Time: 13:22:44, PPG: 89.5 bpm, GSR: 1.17 µS, Accel: 0.77 m/s², Fear: 72.7%
2025-03-17 13:22:59,502 - SOS Triggered - Time: 13:22:59, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.44 m/s², Fear: 99.8%
2025-03-17 13:23:14,510 - SOS Triggered - Time: 13:23:14, PPG: 117.0 bpm, GSR: 8.68 µS, Accel: 2.95 m/s², Fear: 100.0%
2025-03-17 13:23:49,565 - SOS Triggered - Time: 13:23:49, PPG: 84.4 bpm, GSR: 0.53 µS, Accel: 0.75 m/s², Fear: 99.2%
2025-03-17 13:24:44,578 - SOS Triggered - Time: 13:24:44, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.43 m/s², Fear: 99.8%
2025-03-17 13:25:44,580 - SOS Triggered - Time: 13:25:44, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.47 m/s², Fear: 99.8%
2025-03-17 13:26:04,576 - SOS Triggered - Time: 13:26:04, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.43 m/s², Fear: 99.8%
2025-03-17 13:26:19,586 - SOS Triggered - Time: 13:26:19, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.33 m/s², Fear: 100.0%
2025-03-17 13:26:34,595 - SOS Triggered - Time: 13:26:34, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.36 m/s², Fear: 100.0%
2025-03-17 13:26:54,594 - SOS Triggered - Time: 13:26:54, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.32 m/s², Fear: 100.0%
2025-03-17 13:27:09,594 - SOS Triggered - Time: 13:27:09, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.47 m/s², Fear: 99.8%
2025-03-17 13:27:29,597 - SOS Triggered - Time: 13:27:29, PPG: 119.6 bpm, GSR: 7.85 µS, Accel: 2.83 m/s², Fear: 100.0%
2025-03-17 13:27:59,628 - SOS Triggered - Time: 13:27:59, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.38 m/s², Fear: 100.0%
2025-03-17 13:28:19,623 - SOS Triggered - Time: 13:28:19, PPG: 122.3 bpm, GSR: 6.80 µS, Accel: 2.86 m/s², Fear: 100.0%
2025-03-17 13:29:09,647 - SOS Triggered - Time: 13:29:09, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.31 m/s², Fear: 100.0%
2025-03-17 13:29:24,648 - SOS Triggered - Time: 13:29:24, PPG: 122.6 bpm, GSR: 7.01 µS, Accel: 2.83 m/s², Fear: 100.0%
